"","SalesID","DisplayName","CompanyID","CoShortName","LeadName","GradeID","LastGradeID","WinRate","OpenDate","LastContactDate","LastWorkDescription"
"836",9,"蔡坤庭(Justin)",11393,"旺矽","旺矽#","A","D",10,"2021-09-01","2022-02-22","1.Time：13:30。 
2.Item+price：DF51K/ DF50 /DF62/DF22/PQ50/HR34B
3.Application+產業別： LED TEST 儀器 
拜訪內容：與HRS Jennifer 拜訪RD Peter,主要負責設計LED檢測設備,是旺矽另一部門,控制板多使用w to B,以molex &JST 為主,替代料較多,向其介紹帶鎖扣DF51K/DF50 power :DF22,I/O 防水:HR34B competitor:錩鋼, Peter對其複合型 PQ50有興趣,會後會再準備提供詳細資料,另外回來後與其電話再連絡,除HRS外再準備OKAYA & Semitec 資料mail 供其參考"
"837",9,"蔡坤庭(Justin)",11393,"旺矽","旺矽#PAT 60","D","D",10,"2022-05-19","2022-06-09","""1.Item：10:30
2.Item+price: DF62C-2S/13S-2.2C  DF62B-2EP/13EP-2.2C / DF62-22SCF/ DF62-EP22PCF/MDF97-5S-3.5C/ MDF97-22SCF
3.Application+產業別： semiconductor test equipment
4.Model: PAT 60
5.PP時間：預計2022.Q3、PP數量：10pcs。 
6.MP時間：預計2023 Q1、MP數量：50/M
內容: 拜訪RD Petere, 提供DF62C-2S/13S-2.2C  DF62B-2EP/13EP-2.2C MDF97-5S-3.5C 樣品雖還沒整個到齊20 sets ,就先提供已到12 sets讓其測試,此案半導體測試設備上, 將使用2款日本東方馬達, MDF97 板端自帶在馬達 ,DF62 2S/13S 作為馬達與Device 空接上, Peter 表示此線材它們將自行打線,是沒有問題,若此case 測試沒問題,DF62 將會導入其他設備上"""
"838",9,"蔡坤庭(Justin)",10783,"拓甫","拓甫# TPG","C","C",10,"2018-08-16","2021-09-30","""time:13:45
items: KN60B0.7-4P/2-V/KN60B0.7-4S/2-V
application: google 手機測試板
Model: TPG
MP:2021.12
forecast: 5K/lot
內容: 拜訪採購黃雅聘,主要是製作測試治具,目前有一case 是for Google 手機 的測試治具, 將會使用到KN60B0.7-4P/2-V/KN60B0.7-4S/2-V, 經與HRS確認,此料是特殊料,專為客戶所做,故要有客戶提供LOA,才可提供相關圖面及樣品,黃's表示 此部分會請PM去協商,除此case外,因主要是做測試治具,故所使用的料件,都依客戶指定,"""
"839",9,"蔡坤庭(Justin)",1187,"怡利電子ELEAD-TP","怡利#JKC","D","D",10,"2021-10-01","2021-10-14","""time: 13:45
items:GT8EH-12DP-2V(15) 
Application: dashboard
Project:JKC
MP:2022.06
Forecast:10K/M  amount: 15萬
內容: 拜訪sourcer 黃'r,此case是for印尼車廠所研發 dashboard,尋找小型車規B to W, GT8 系列是HRS目前最小是for power & signal,將申請樣品供RD 核對機構,此case日後生產將會在怡利泰國廠, 黃'r表示我司能交到泰國嗎? 此部分沒立即拒絕, 表示會與公司討論是否可行?"""
"840",9,"蔡坤庭(Justin)",1187,"怡利電子ELEAD-TP","怡利#EL-211-LG","D","D",10,"2022-01-13","2022-01-14","""1.Item：13:45。 
2.Item+price：TF45-20S-0.5SH(800)/ KM025B 40M 
3.Application+產業別: dashboard
4.Model: EL-211-LG 
5.PP時間：預計2022.8月、PP數量：100pcs。 
6.MP時間：預計2022.10月、MP數量：3K/M
內容: 拜訪sourcer super & RD 張'r, 目前有一OEM case for dashboard.客戶是LG, 將會用在現代汽車上,所使用TF45-20S-0.5SH(800)/ KM025B 40M告知此兩顆料都為HRS korea,需要詢問HRS是否可以販售? 若可以將會一併詢問是否有contract price?"""
"841",9,"蔡坤庭(Justin)",1187,"怡利電子ELEAD-TP","怡利#new","D","D",10,"2022-04-13","2022-04-14","""1.time：15:30
2.Item+price：DF40C(2.0)-20DS-0.4V(51)/DF40C-20DP-0.4V(51)
                        DF62W-4S-2.2C / DF62W-4EP-2.2C /DF62W-2226SCF /DF62W-EP2226PCF
3.Application+產業別：AVM
4.Model:  N/A
5.PP時間：預計2022.11月、PP數量：30pcs。 
6.MP時間：預計2023.1月、MP數量: 20K /M、MP金額：NTD 30萬
內容: 拜訪RD 韓'r,主要負責AVM camera, 搭配車廠為Toyota,主要市場在東南亞,生產在泰國廠.鏡頭內部最多2塊板子,常用20 pin H:3mm以下,介紹DF40C(2.0)-20DS-0.4V(51)/DF40C-20DP-0.4V(51), 4 camera/ 輛,目前有再找防水空中接頭4 pin,目前只有DF62W可對應,說明此系列非車規,但韓'R表示若測試ok雖非車規也是可行,它們會備註給車廠知道,先前有實際案例,將一併會申請樣品供其測試"""
"842",9,"蔡坤庭(Justin)",5311,"坦億DOUBLEI-TP","坦億#AN610","D","D",10,"2013-01-08","2022-02-18","""time: 13:50
items: U.FL-R-SMT-1(10) /TF38-30S-0.5SV(830)
Application: 自動販賣機控制器
Project: AN610
PP: 2022.04
6.MP:2022.05 FC:2K/lot  amount:NTD:2.2萬
內容: 拜訪RD William, 討論此案進度,因通訊芯片是使用高通,目前市場大缺貨,且市場價格飛漲,因此11月的sample run被迫延至4月,視芯片狀況來調整,且並介紹semitec NTC, William 表示雖此案是不會使用,但未來其他產品在設計上,使用機會頗大,會後將傳電子檔讓其歸檔參考"""
"843",9,"蔡坤庭(Justin)",5609,"坦順TOPROOT-TP","坦順#","C","C",10,"2018-07-25","2021-10-19","""time: 15:25
items: FunctionMax series
Application: Gaming Platform
內容:與HRS Jennifer 一同拜訪sourcer Donna, 主要產品多以X86或ARM應用為基礎產品for Gaming, 此次介紹FX18 高速傳輸連接器及IX 系列,但Donna表示 目前設計是以穩定為重要, 還未有高速傳輸需求,內部B to B 使用Pin header & w to B, I/O :RJ45, D-Sub ,多使用local, 此部分高速傳輸資料,或許在未來設計會有需求  """
"844",9,"蔡坤庭(Justin)",11388,"亞佳","亞佳#","C","D",10,"2021-09-14","2021-09-17","""time: 16:20
items: DF1B-2S-2.5R/ DF1B-2428SCF
Application: 新漢線材配合廠商
內容: 拜會亞佳採購Jessica, 目前需求DF1B-2S-2.5R:1.1K 端子1R, 告知除無庫存外,此系列因受到PA66影響, 交期非常不好 至少要24weeks, 只能盡速下單,盡量與HRS協調交期."""
"845",9,"蔡坤庭(Justin)",11446,"車王電子","車王電子#電動大巴","D","D",10,"2022-02-23","2022-02-24","""time: 13:30
items: ZE064W/GT25/ZE05/LF
Application: 電動大巴
內容: 首次拜訪,約訪電巴RD 江'r, 向其介紹HRS 可運用在電巴的產品,因目前車王電都是以先前華德動能所設計為主,慢慢從中改款,江'r展示目前所使用的產品除高電壓外,大都使用工規/軍規為主,目前有在計畫整合 I/O,向其介紹小電流LF series, 可縮減空間, 另外對於PQ50 複合型有興趣,但此部分需要在與HRS確認是否能運用在大巴上?另外得知儲能&電動工具窗口為蔡主任,將安排下次拜訪"""
"846",9,"蔡坤庭(Justin)",4987,"系統電子-TP","系統#POWER BOARD","C","E",10,"2019-11-05","2021-10-05","""time: 10:45
items: DF63M /PS/DF22
Application: 電池組/ 儲能/ 車用電子
內容: 拜訪sourcerJudy 先前RD 陳'r 已離職,與Judy 會談, 系統工廠主要在鎮江 (電池模組),惠州, 南投(TPMS), 台灣大陸都有研發,會後有先針對儲能部分HRS可對應資料提供給Judy,並請Judy  可否介紹電池組及儲能相關RD,"""
"847",9,"蔡坤庭(Justin)",6990,"秀育企業","秀育#ACK2400","C","C",10,"2019-05-28","2021-09-28","""Time: 15:50
items: CX90B-16P
Application: keyboard for 電競
Project: ACK2400
PP:2022.01
MP:2022.03
FC: 2K/M  amount:5萬
內容:拜訪sourcer cathy, 目前有一case 是for電競用keyboard, 外銷日本,在找type C接頭 ,所以此次選料時才會選擇日系廠牌,競爭者:JAE,提供此sample board及圖面讓其核對機構, 後續將提供樣品供其測試"""
